"Top values of Actors.keyword","Count of records"
"David Duchovny",13
RuPaul,8
"Michelle Visage",7
"Samuel L. Jackson",6
"Brian Baumgartner",5
"Charlize Theron",5
"Ellie Kemper",5
"Julia Ann",5
"Ayana Taketatsu",4
"Bruce Willis",4
"Chow Yun-Fat",4
"Dominic Purcell",4
"Graham Norton",4
"Mel Blanc",4
"Mindy Kaling",4
"Patrick Wilson",4
"Robert Downey Jr.",4
"Wentworth Miller",4
"Will Ferrell",4
"Yoshitsugu Matsuoka",4
"Amaury Nolasco",3
"Anthony Addabbo",3
"Ashley Tisdale",3
"Assi Azar",3
"Bar Refaeli",3
"Bette Davis",3
"Brad Pitt",3
"Brendan Gleeson",3
"Chris Hemsworth",3
"Colin Farrell",3
"Creed Bratton",3
"Dermot Mulroney",3
"Drew Barrymore",3
"Emily Watson",3
"Erez Tal",3
"Gabriele Tinti",3
"Haruka Tomatsu",3
"Jack Mercer",3
"Jennifer Tilly",3
"Joan Allen",3
"Joe Pesci",3
"Jude Law",3
"June Foray",3
"Kana Asumi",3
"Kate Flannery",3
"Laura Gemser",3
"Leonard Nimoy",3
"Lucas Grabeel",3
"Macaulay Culkin",3
"Mae Questel",3
"Marisa Tomei",3
"Mark Wahlberg",3
"Michael Cornacchia",3
"Michael Douglas",3
"Michael Ironside",3
"Michael Pollan",3
"Michiyo Aratama",3
"Mickey Rooney",3
"Mira Sorvino",3
"Nicolas Cage",3
"Nicole Kidman",3
"Patricia Arquette",3
"Peter Jones",3
"Pierre Palmade",3
"Pinto Colvig",3
"Reese Witherspoon",3
"Robert De Niro",3
"Robin Williams",3
"Ron Perlman",3
"Sergey A.",3
Styxhexenhammer666,3
"Tatsuya Nakadai",3
"Tye Sheridan",3
"Tyler Perry",3
"Vanessa Hudgens",3
"Woody Harrelson",3
"Yûko Gibu",3
"Zac Efron",3
"Zeljko Joksimovic",3
"Adam Clayton",2
"Adam Richman",2
"Adrien Brody",2
"Al Pacino",2
"Alan Ritchson",2
"Alan Thicke",2
"Alec Secareanu",2
"Alex D. Linz",2
"Alex Jennings",2
"Alison Pill",2
"Ally Sheedy",2
"America Ferrera",2
"Andrea Duro",2
"Angela Kinsey",2
"Anil Kapoor",2
"Anjelica Huston",2
"Anna Chlumsky",2
"Anna Hutchison",2
Anonymous,2
"Anthony 'Treach' Criss",2
"Anthony Chau-Sang Wong",2
Other,"1,469"
