"Top values of Director.keyword","Count of records"
"Zalman King",7
"Rafael Eisenman",6
"Sven Stojanovic",5
"Jack Kinney",4
"Jim Jarmusch",4
"Tyler Perry",4
"Andy Warhol",3
"Charles Eames",3
"Dave Fleischer",3
"Gary Miller",3
"Hark Tsui",3
"Jun'ichi Satô",3
"Kenny Ortega",3
"Masaki Kobayashi",3
"Michael Curtiz",3
"Ray Eames",3
"Renny Harlin",3
"Sean Anders",3
"Sergey A.",3
"Spike Lee",3
"Stewart Wade",3
"Todd Phillips",3
"Tom Six",3
"Troels Lund",3
"Yimou Zhang",3
"Abbas Alibhai Burmawalla",2
"Alex Ranarivelo",2
"Alper Caglar",2
"Andrew V. McLaglen",2
"Anthony Russo",2
"Barry Sonnenfeld",2
"Bedran Güzel",2
"Bruno Mattei",2
"Can Evrenol",2
"Charles A. Nichols",2
"Charles Frend",2
"Chris Columbus",2
"Chuck Jones",2
"Clyde Geronimi",2
"Conrad Vernon",2
"Damian Lee",2
"Danny Jelinek",2
"David Womark",2
"Dean Parisot",2
"Eddie Brown Jr.",2
"Edward D. Wood Jr.",2
"Edwin S. Porter",2
"Ernie Schultz",2
"Ethan Coen",2
"Evan Tramel",2
"Fabio Medeiros",2
"Friz Freleng",2
"Georges Méliès",2
"Greg Tiernan",2
"Gérard Pullicino",2
"Ingmar Bergman",2
"Izzy Sparber",2
"James H. White",2
"Jason Reitman",2
"Jerry Jameson",2
"Joe Russo",2
"Joel Coen",2
"John Berardo",2
"John Boorman",2
"John Hough",2
"Johnnie To",2
"Jon Watts",2
"Jonathan Sobol",2
"Joseph Barbera",2
"Kaige Chen",2
"Kari Tervo",2
"Kevin Macdonald",2
"Ladislaus Kiraly",2
"Lewis Seiler",2
"Lisa Immordino Vreeland",2
"Lloyd Bacon",2
"Majid Majidi",2
"Malcolm D. Lee",2
"Mastan Alibhai Burmawalla",2
"Michael Dempsey",2
"Michael Dowse",2
"Michal Siewierski",2
"Mike Judge",2
"Mikio Naruse",2
"Myron Waldman",2
"Paul Lynch",2
"Paula Macedo",2
"Pedro Miguel Martins",2
"Rebeca Casagrande",2
"Richard Linklater",2
"Ringo Lam",2
"Robert Gordon",2
"Roel Reiné",2
"Rosa Karo",2
"Sean McNamara",2
"Sophie Fiennes",2
"Steven Spielberg",2
"Sut Jhally",2
"T.A. Williams",2
"Ted Kotcheff",2
Other,"1,221"
